analysis_id,folio_id,layout,objects,relations,notes,annotation_status,text_masked,physical_group,image_id,image_path,image_sha256,crop_bbox_normalized,domains,tentative_domains,relation_patterns,tentative_patterns,object_group_count,relation_count,description
object_relation_v1_b9cbf0c3a6dc,f1v,illustrated,"[{""bbox"":[0.18,0.1,0.95,0.95],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""plant"",""kind"":""whole_plant"",""note"":""""},{""bbox"":[0.18,0.14,0.95,0.66],""certainty"":""clear"",""count_max"":null,""count_min"":12,""id"":""leaves"",""kind"":""leaf"",""note"":""""},{""bbox"":[0.24,0.78,0.85,0.95],""certainty"":""clear"",""count_max"":null,""count_min"":1,""id"":""root"",""kind"":""root"",""note"":""""}]","[{""certainty"":""clear"",""note"":"""",""object"":""plant"",""predicate"":""part_of"",""subject"":""leaves""},{""certainty"":""clear"",""note"":"""",""object"":""plant"",""predicate"":""part_of"",""subject"":""root""},{""certainty"":""clear"",""note"":"""",""object"":""root"",""predicate"":""above"",""subject"":""leaves""}]",Green and ochre leaf-like forms; no species identification.,single_ai_development_review,false,folio_1,1006077,data/folios/images/yale_1006077.jpg,63e8b178270bec6a05cc8ebd2cd6dac5737629555158cdeaa23ab0234d6efbea,"[0,0,1,1]","[""botanical""]",[],[],[],3,3,"Leaf, root, whole plant. leaves part of plant; root part of plant; leaves above root. Green and ochre leaf-like forms; no species identification."
object_relation_v1_b9cbf0c3a6dc,f2v,illustrated,"[{""bbox"":[0.17,0.04,0.94,0.95],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""plant"",""kind"":""whole_plant"",""note"":""""},{""bbox"":[0.24,0.26,0.89,0.61],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""leaf"",""kind"":""leaf"",""note"":""""},{""bbox"":[0.18,0.88,0.94,0.95],""certainty"":""clear"",""count_max"":null,""count_min"":1,""id"":""root"",""kind"":""root"",""note"":""""},{""bbox"":[0.64,0.04,0.89,0.26],""certainty"":""tentative"",""count_max"":1,""count_min"":1,""id"":""flower"",""kind"":""flower_like"",""note"":""""}]","[{""certainty"":""clear"",""note"":"""",""object"":""plant"",""predicate"":""part_of"",""subject"":""leaf""},{""certainty"":""clear"",""note"":"""",""object"":""plant"",""predicate"":""part_of"",""subject"":""root""},{""certainty"":""clear"",""note"":"""",""object"":""leaf"",""predicate"":""above"",""subject"":""flower""}]",Broad round leaf is not classified as a diagram.,single_ai_development_review,false,folio_2,1006079,data/folios/images/yale_1006079.jpg,40ad3afab23564fbeded797854697a973b40e04fa906cb12986b7d7f02c929cd,"[0,0,1,1]","[""botanical""]",[],[],[],4,3,"Flower like, leaf, root, whole plant. leaf part of plant; root part of plant; flower above leaf. Broad round leaf is not classified as a diagram."
object_relation_v1_b9cbf0c3a6dc,f5r,illustrated,"[{""bbox"":[0.21,0.3,0.85,0.94],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""plant"",""kind"":""whole_plant"",""note"":""""},{""bbox"":[0.27,0.4,0.81,0.72],""certainty"":""clear"",""count_max"":null,""count_min"":4,""id"":""leaves"",""kind"":""leaf"",""note"":""""},{""bbox"":[0.2,0.84,0.84,0.95],""certainty"":""clear"",""count_max"":null,""count_min"":1,""id"":""root"",""kind"":""root"",""note"":""""}]","[{""certainty"":""clear"",""note"":"""",""object"":""plant"",""predicate"":""part_of"",""subject"":""leaves""},{""certainty"":""clear"",""note"":"""",""object"":""plant"",""predicate"":""part_of"",""subject"":""root""},{""certainty"":""clear"",""note"":"""",""object"":""root"",""predicate"":""above"",""subject"":""leaves""}]",Ignore faint reverse-side green forms.,single_ai_development_review,false,folio_5,1006084,data/folios/images/yale_1006084.jpg,4449eaeeb92129e101ecc5e5e646ed78732fa454631f1fae67945878e812d944,"[0,0,1,1]","[""botanical""]",[],[],[],3,3,"Leaf, root, whole plant. leaves part of plant; root part of plant; leaves above root. Ignore faint reverse-side green forms."
object_relation_v1_b9cbf0c3a6dc,f13r,illustrated,"[{""bbox"":[0.15,0.25,0.84,0.98],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""plant"",""kind"":""whole_plant"",""note"":""""},{""bbox"":[0.16,0.37,0.8,0.72],""certainty"":""clear"",""count_max"":null,""count_min"":4,""id"":""leaves"",""kind"":""leaf"",""note"":""""},{""bbox"":[0.3,0.69,0.85,0.98],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""root"",""kind"":""root"",""note"":""""},{""bbox"":[0.42,0.25,0.57,0.43],""certainty"":""tentative"",""count_max"":1,""count_min"":1,""id"":""head"",""kind"":""flower_like"",""note"":""""}]","[{""certainty"":""clear"",""note"":"""",""object"":""plant"",""predicate"":""part_of"",""subject"":""leaves""},{""certainty"":""clear"",""note"":"""",""object"":""plant"",""predicate"":""part_of"",""subject"":""root""},{""certainty"":""clear"",""note"":"""",""object"":""leaves"",""predicate"":""above"",""subject"":""head""}]",Large red root-like base with narrow branching extensions.,single_ai_development_review,false,folio_13,1006098,data/folios/images/yale_1006098.jpg,b39e1dc313cbafb007d9c235a674d8ca67c281ce6cf6d8209ac62d69cb8cb4d9,"[0,0,1,1]","[""botanical""]",[],[],[],4,3,"Flower like, leaf, root, whole plant. leaves part of plant; root part of plant; head above leaves. Large red root-like base with narrow branching extensions."
object_relation_v1_b9cbf0c3a6dc,f75r,illustrated,"[{""bbox"":[0.39,0.09,0.85,0.84],""certainty"":""clear"",""count_max"":null,""count_min"":6,""id"":""people"",""kind"":""human_figure"",""note"":""""},{""bbox"":[0.34,0.05,0.62,0.42],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""channel"",""kind"":""channel"",""note"":""""},{""bbox"":[0.41,0.35,0.67,0.56],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""basin1"",""kind"":""basin"",""note"":""""},{""bbox"":[0.52,0.6,0.86,0.86],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""basin2"",""kind"":""basin"",""note"":""""}]","[{""certainty"":""clear"",""note"":"""",""object"":""basin1"",""predicate"":""connected_to"",""subject"":""channel""},{""certainty"":""clear"",""note"":"""",""object"":""basin2"",""predicate"":""above"",""subject"":""basin1""},{""certainty"":""clear"",""note"":"""",""object"":""basin1"",""predicate"":""overlaps"",""subject"":""people""},{""certainty"":""clear"",""note"":"""",""object"":""basin2"",""predicate"":""overlaps"",""subject"":""people""}]",Figures occupy multiple green outlined spaces. No medical or bathing function assigned.,single_ai_development_review,false,folio_75,1006208,data/folios/images/yale_1006208.jpg,3c695db7b2d80a4e0ac246b8258691ac4bbb5d160e669744ef666f81a5f5f146,"[0,0,1,1]","[""basins_channels"",""human_figures""]",[],[],[],4,4,"Basin, channel, human figure. channel connected to basin1; basin1 above basin2; people overlaps basin1; people overlaps basin2. Figures occupy multiple green outlined spaces. No medical or bathing function assigned."
object_relation_v1_b9cbf0c3a6dc,f76v,illustrated,"[{""bbox"":[0.14,0.22,0.33,0.7],""certainty"":""clear"",""count_max"":null,""count_min"":3,""id"":""people"",""kind"":""human_figure"",""note"":""""},{""bbox"":[0.14,0.11,0.31,0.86],""certainty"":""tentative"",""count_max"":null,""count_min"":3,""id"":""forms"",""kind"":""uncertain_form"",""note"":""""},{""bbox"":[0.755,0.035,0.865,0.17],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""upper_right_person"",""kind"":""human_figure"",""note"":""Enlarged scan review confirms a separate figure at upper right.""},{""bbox"":[0.765,0.125,0.84,0.165],""certainty"":""tentative"",""count_max"":1,""count_min"":1,""id"":""small_container"",""kind"":""vessel"",""note"":""Outlined tub-like form around the feet.""}]","[{""certainty"":""clear"",""note"":"""",""object"":""forms"",""predicate"":""overlaps"",""subject"":""people""},{""certainty"":""tentative"",""note"":"""",""object"":""small_container"",""predicate"":""overlaps"",""subject"":""upper_right_person""}]",Figures and patterned forms run down the left margin; another figure stands at upper right beside dense writing. Object counts are not exhaustive.,single_ai_development_review,false,folio_76,1006211,data/folios/images/yale_1006211.jpg,2b07207b38214f74705f5f4c4f1680be953d606bc87c7e32a7231454b57cd067,"[0,0,1,1]","[""containers"",""human_figures""]","[""containers""]",[],[],4,2,"Human figure, uncertain form, vessel. people overlaps forms; upper_right_person overlaps small_container. Figures and patterned forms run down the left margin; another figure stands at upper right beside dense writing. Object counts are not exhaustive."
object_relation_v1_b9cbf0c3a6dc,f78r,illustrated,"[{""bbox"":[0.46,0.34,0.77,0.51],""certainty"":""clear"",""count_max"":null,""count_min"":5,""id"":""upper_people"",""kind"":""human_figure"",""note"":""""},{""bbox"":[0.44,0.69,0.79,0.87],""certainty"":""clear"",""count_max"":null,""count_min"":6,""id"":""lower_people"",""kind"":""human_figure"",""note"":""""},{""bbox"":[0.44,0.33,0.81,0.53],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""upper_basin"",""kind"":""basin"",""note"":""""},{""bbox"":[0.42,0.7,0.8,0.89],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""lower_basin"",""kind"":""basin"",""note"":""""},{""bbox"":[0.15,0.04,0.85,0.36],""certainty"":""clear"",""count_max"":null,""count_min"":1,""id"":""top_channel"",""kind"":""channel"",""note"":""""},{""bbox"":[0.69,0.49,0.76,0.74],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""link"",""kind"":""channel"",""note"":""""}]","[{""certainty"":""clear"",""note"":"""",""object"":""upper_basin"",""predicate"":""inside"",""subject"":""upper_people""},{""certainty"":""clear"",""note"":"""",""object"":""lower_basin"",""predicate"":""inside"",""subject"":""lower_people""},{""certainty"":""clear"",""note"":"""",""object"":""upper_basin"",""predicate"":""connected_to"",""subject"":""link""},{""certainty"":""clear"",""note"":"""",""object"":""lower_basin"",""predicate"":""connected_to"",""subject"":""link""},{""certainty"":""clear"",""note"":"""",""object"":""upper_basin"",""predicate"":""connected_to"",""subject"":""top_channel""},{""certainty"":""clear"",""note"":"""",""object"":""lower_basin"",""predicate"":""above"",""subject"":""upper_basin""}]",,single_ai_development_review,false,folio_78,1006214,data/folios/images/yale_1006214.jpg,fd2810ff8c0952d8a4c15d8f55334038ab507c4c282652df60b26acadd56ddfe,"[0,0,1,1]","[""basins_channels"",""human_figures""]",[],"[""figures_in_linked_basins"",""linked_basins""]",[],6,6,"Basin, channel, human figure. upper_people inside upper_basin; lower_people inside lower_basin; link connected to upper_basin; link connected to lower_basin; top_channel connected to upper_basin; upper_basin above lower_basin. "
object_relation_v1_b9cbf0c3a6dc,f81r,illustrated,"[{""bbox"":[0.19,0.07,0.72,0.18],""certainty"":""clear"",""count_max"":null,""count_min"":6,""id"":""upper_people"",""kind"":""human_figure"",""note"":""""},{""bbox"":[0.23,0.7,0.7,0.81],""certainty"":""clear"",""count_max"":null,""count_min"":5,""id"":""lower_people"",""kind"":""human_figure"",""note"":""""},{""bbox"":[0.15,0.065,0.74,0.2],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""upper_basin"",""kind"":""basin"",""note"":""""},{""bbox"":[0.19,0.69,0.72,0.84],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""lower_basin"",""kind"":""basin"",""note"":""""},{""bbox"":[0.075,0.15,0.23,0.76],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""link"",""kind"":""channel"",""note"":""""}]","[{""certainty"":""clear"",""note"":"""",""object"":""upper_basin"",""predicate"":""inside"",""subject"":""upper_people""},{""certainty"":""clear"",""note"":"""",""object"":""lower_basin"",""predicate"":""inside"",""subject"":""lower_people""},{""certainty"":""clear"",""note"":"""",""object"":""upper_basin"",""predicate"":""connected_to"",""subject"":""link""},{""certainty"":""clear"",""note"":"""",""object"":""lower_basin"",""predicate"":""connected_to"",""subject"":""link""},{""certainty"":""clear"",""note"":"""",""object"":""lower_basin"",""predicate"":""above"",""subject"":""upper_basin""}]","Count bounds are conservative, not complete individual counts.",single_ai_development_review,false,folio_81,1006220,data/folios/images/yale_1006220.jpg,9585a87601197318babaa1a5c8fbd64486440277348433c01904783ffe7d5abc,"[0,0,1,1]","[""basins_channels"",""human_figures""]",[],"[""figures_in_linked_basins"",""linked_basins""]",[],5,5,"Basin, channel, human figure. upper_people inside upper_basin; lower_people inside lower_basin; link connected to upper_basin; link connected to lower_basin; upper_basin above lower_basin. Count bounds are conservative, not complete individual counts."
object_relation_v1_b9cbf0c3a6dc,f57v,illustrated,"[{""bbox"":[0.18,0.07,0.94,0.69],""certainty"":""clear"",""count_max"":null,""count_min"":4,""id"":""rings"",""kind"":""circular_structure"",""note"":""""},{""bbox"":[0.39,0.25,0.78,0.54],""certainty"":""tentative"",""count_max"":4,""count_min"":4,""id"":""people"",""kind"":""human_figure"",""note"":""""},{""bbox"":[0.51,0.345,0.64,0.44],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""centre"",""kind"":""radial_motif"",""note"":""""}]","[{""certainty"":""clear"",""note"":"""",""object"":""rings"",""predicate"":""inside"",""subject"":""people""},{""certainty"":""clear"",""note"":"""",""object"":""rings"",""predicate"":""inside"",""subject"":""centre""}]","Faint figures and rings need independent checking. Circular structure count refers to visible rings, not separate diagrams.",single_ai_development_review,false,folio_57,1006187,data/folios/images/yale_1006187.jpg,76d11b3a5123b46612cebc47d83bcfa60a0524f9bf79848daf9c229f8dbc457c,"[0,0,1,1]","[""diagrammatic"",""human_figures""]","[""human_figures""]",[],[],3,2,"Circular structure, human figure, radial motif. people inside rings; centre inside rings. Faint figures and rings need independent checking. Circular structure count refers to visible rings, not separate diagrams."
object_relation_v1_b9cbf0c3a6dc,f67r1,illustrated,"[{""bbox"":[0.04,0.17,0.96,0.82],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""ring"",""kind"":""circular_structure"",""note"":""""},{""bbox"":[0.23,0.3,0.78,0.65],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""rays"",""kind"":""radial_motif"",""note"":""""},{""bbox"":[0.425,0.435,0.56,0.535],""certainty"":""clear"",""count_max"":1,""count_min"":1,""id"":""face"",""kind"":""face"",""note"":""""},{""bbox"":[0.1,0.26,0.88,0.74],""certainty"":""clear"",""count_max"":null,""count_min"":10,""id"":""stars"",""kind"":""star_like_mark"",""note"":""""}]","[{""certainty"":""clear"",""note"":"""",""object"":""rays"",""predicate"":""inside"",""subject"":""face""},{""certainty"":""clear"",""note"":"""",""object"":""ring"",""predicate"":""inside"",""subject"":""rays""},{""certainty"":""clear"",""note"":"""",""object"":""ring"",""predicate"":""inside"",""subject"":""stars""}]","Celestial-like describes visible face/rays/stars, not an identified astronomical object.",single_ai_development_review,false,foldout_67_68,1006194,data/folios/images/yale_1006194.jpg,ed3657b74b4705da1b2605b12e0a9cda501df9384b8e0f8f5ce392498ee41e84,"[0.0266,0.0208,0.5146,0.9907]","[""celestial_like"",""diagrammatic""]",[],[],[],4,3,"Circular structure, face, radial motif, star like mark. face inside rays; rays inside ring; stars inside ring. Celestial-like describes visible face/rays/stars, not an identified astronomical object."
