transcription,locus,page,word_index,form,count,near_hapax,nearest,nearest_count,flagged,uncertain_space,line_split_disagree,currier,section,score,image
eva,f100r.22,f100r,2,fchod,1,True,chod,6,False,True,True,A,pharmaceutical,4,data/folios/images/yale_1006248.jpg
eva,f101r.9,f101r,20,?,0,False,,0,True,True,True,A,pharmaceutical,4,
eva,f101v.19,f101v,11,otch???y,0,False,,0,True,True,True,A,pharmaceutical,4,
eva,f101v.19,f101v,13,pcholy,1,True,choly,7,False,True,True,A,pharmaceutical,4,
eva,f101v.22,f101v,19,?sodaiin,0,False,,0,True,True,True,A,pharmaceutical,4,
eva,f101v.23,f101v,15,keeol,1,True,keeol,12,False,True,True,A,pharmaceutical,4,
eva,f101v.28,f101v,3,???cheo,0,False,,0,True,True,True,A,pharmaceutical,4,
eva,f101v.28,f101v,9,qkar,1,True,qokar,111,False,True,True,A,pharmaceutical,4,
eva,f102v1.9,f102v1,7,rchol,1,True,chol,241,False,True,True,A,pharmaceutical,4,
eva,f103r.8,f103r,8,adchey,1,True,dchey,7,False,True,True,B,stars,4,data/folios/images/yale_1006254.jpg
eva,f103r.8,f103r,11,??olkechdy,0,False,,0,True,True,True,B,stars,4,data/folios/images/yale_1006254.jpg
eva,f104v.39,f104v,14,Î,1,True,s,187,False,True,True,B,stars,4,data/folios/images/yale_1006257.jpg
eva,f111r.22,f111r,0,ssheo,1,True,sheo,28,False,True,True,B,stars,4,data/folios/images/yale_1006266.jpg
eva,f111r.42,f111r,11,kag,1,True,kar,40,False,True,True,B,stars,4,data/folios/images/yale_1006266.jpg
eva,f111v.13,f111v,11,amd,1,True,am,52,False,True,True,B,stars,4,data/folios/images/yale_1006267.jpg
eva,f111v.27,f111v,12,llo,1,True,lo,14,False,True,True,B,stars,4,data/folios/images/yale_1006267.jpg
eva,f111v.37,f111v,0,polchey,1,True,olchey,17,False,True,True,B,stars,4,data/folios/images/yale_1006267.jpg
eva,f111v.7,f111v,3,fcheeo,1,True,cheeo,15,False,True,True,B,stars,4,data/folios/images/yale_1006267.jpg
eva,f112v.1,f112v,0,keeoal,1,True,keeol,12,False,True,True,B,stars,4,data/folios/images/yale_1006269.jpg
eva,f113r.9,f113r,0,dchos,1,True,chos,25,False,True,True,B,stars,4,data/folios/images/yale_1006270.jpg
eva,f115r.14,f115r,1,rcheeo,1,True,cheeo,15,False,True,True,B,stars,4,data/folios/images/yale_1006274.jpg
eva,f115v.19,f115v,2,lxor,1,True,lor,29,False,True,True,B,stars,4,data/folios/images/yale_1006275.jpg
eva,f115v.19,f115v,3,xoiin,1,True,oiin,24,False,True,True,B,stars,4,data/folios/images/yale_1006275.jpg
eva,f115v.40,f115v,0,ycheeol,1,True,ycheol,7,False,True,True,B,stars,4,data/folios/images/yale_1006275.jpg
eva,f115v.41,f115v,2,kolchey,1,True,olchey,17,False,True,True,B,stars,4,data/folios/images/yale_1006275.jpg
eva,f116r.12,f116r,10,d?in,0,False,,0,True,True,True,B,stars,4,data/folios/images/yale_1006276.jpg
eva,f116r.30,f116r,6,ollaiin,1,True,olaiin,33,False,True,True,B,stars,4,data/folios/images/yale_1006276.jpg
eva,f11v.6,f11v,7,arg,1,True,ar,238,False,True,True,A,herbal,4,data/folios/images/yale_1006097.jpg
eva,f1r.4,f1r,2,oteo?,0,False,,0,True,True,True,A,text,4,data/folios/images/yale_1006076.jpg
eva,f1r.4,f1r,4,cthiar,1,True,cthar,9,False,True,True,A,text,4,data/folios/images/yale_1006076.jpg
eva,f1v.1,f1v,6,cfhar,1,True,char,42,False,True,True,A,herbal,4,data/folios/images/yale_1006077.jpg
eva,f1v.7,f1v,2,choees,1,True,chees,19,False,True,True,A,herbal,4,data/folios/images/yale_1006077.jpg
eva,f23v.4,f23v,5,?ar,0,False,,0,True,True,True,A,herbal,4,data/folios/images/yale_1006119.jpg
eva,f25v.1,f25v,7,qofchor,1,True,qokchor,8,False,True,True,A,herbal,4,data/folios/images/yale_1006123.jpg
eva,f25v.1,f25v,8,sos,1,True,sol,41,False,True,True,A,herbal,4,data/folios/images/yale_1006123.jpg
eva,f32v.4,f32v,7,chydch?,0,False,,0,True,True,True,A,herbal,4,data/folios/images/yale_1006137.jpg
eva,f33v.3,f33v,4,d?mokar,0,False,,0,True,True,True,B,herbal,4,data/folios/images/yale_1006139.jpg
eva,f36r.4,f36r,5,fchom,1,True,chom,10,False,True,True,A,herbal,4,data/folios/images/yale_1006144.jpg
eva,f40r.2,f40r,5,ok?s,0,False,,0,True,True,True,B,herbal,4,data/folios/images/yale_1006152.jpg
eva,f41r.2,f41r,1,alshey,1,True,lshey,12,False,True,True,B,herbal,4,data/folios/images/yale_1006154.jpg
