transcription,locus,page,word_index,form,count,near_hapax,nearest,nearest_count,flagged,uncertain_space,line_split_disagree,currier,section,score,image
eva,f102v1.8,f102v1,0,dairn,1,True,daiin,546,False,False,True,A,pharmaceutical,3,
eva,f105v.17,f105v,8,diiin,1,True,daiin,546,False,True,False,B,stars,3,data/folios/images/yale_1006259.jpg
eva,f112v.44,f112v,2,qaiin,1,True,daiin,546,False,False,False,B,stars,2,data/folios/images/yale_1006269.jpg
eva,f50r.10,f50r,2,darin,1,True,daiin,546,False,False,False,B,herbal,2,data/folios/images/yale_1006172.jpg
eva,f52v.13,f52v,3,daiig,1,True,daiin,546,False,False,False,A,herbal,2,data/folios/images/yale_1006177.jpg
eva,f53v.4,f53v,4,daiio,1,True,daiin,546,False,True,False,A,herbal,3,data/folios/images/yale_1006179.jpg
eva,f111r.35,f111r,1,chedl,1,True,chedy,331,False,True,False,B,stars,3,data/folios/images/yale_1006266.jpg
eva,f115v.32,f115v,5,chddy,1,True,chedy,331,False,False,False,B,stars,2,data/folios/images/yale_1006275.jpg
eva,f116r.33,f116r,7,cheds,1,True,chedy,331,False,False,False,B,stars,2,data/folios/images/yale_1006276.jpg
eva,f116r.40,f116r,6,chery,1,True,chedy,331,False,False,False,B,stars,2,data/folios/images/yale_1006276.jpg
eva,f65v.1,f65v,6,chpdy,1,True,chedy,331,False,False,False,unknown,herbal,2,data/folios/images/yale_1006191.jpg
eva,f66r.52,f66r,1,chady,1,True,chedy,331,False,False,False,B,text,2,data/folios/images/yale_1006192.jpg
eva,f75v.43,f75v,3,chesy,1,True,chedy,331,False,False,False,B,balneological,2,data/folios/images/yale_1006209.jpg
eva,f88v.8,f88v,1,cheoy,1,True,chedy,331,False,False,False,A,pharmaceutical,2,
eva,f105v.28,f105v,4,aiil,1,True,aiin,308,False,False,False,B,stars,2,data/folios/images/yale_1006259.jpg
eva,f111r.1,f111r,2,aiip,1,True,aiin,308,False,False,False,B,stars,2,data/folios/images/yale_1006266.jpg
eva,f113r.23,f113r,3,kiin,1,True,aiin,308,False,False,False,B,stars,2,data/folios/images/yale_1006270.jpg
eva,f87v.13,f87v,4,aiim,1,True,aiin,308,False,False,True,A,herbal,3,data/folios/images/yale_1043429.jpg
eva,f89v2.16,f89v2,6,siin,1,True,aiin,308,False,False,False,A,pharmaceutical,2,
eva,f41r.6,f41r,5,shepy,1,True,shedy,274,False,False,True,B,herbal,3,data/folios/images/yale_1006154.jpg
eva,f66r.50,f66r,5,shddy,1,True,shedy,274,False,False,False,B,text,2,data/folios/images/yale_1006192.jpg
eva,f79r.4,f79r,3,sheds,1,True,shedy,274,False,True,False,B,balneological,3,data/folios/images/yale_1006216.jpg
eva,f83v.24,f83v,5,shldy,1,True,shedy,274,False,False,False,B,balneological,2,data/folios/images/yale_1006225.jpg
eva,f95r2.9,f95r2,3,shsdy,1,True,shedy,274,False,False,False,B,herbal,2,
eva,f17r.1,f17r,6,chop,1,True,chol,241,False,False,False,A,herbal,2,data/folios/images/yale_1006106.jpg
eva,f8r.4,f8r,5,chof,1,True,chol,241,False,False,False,A,herbal,2,data/folios/images/yale_1006090.jpg
eva,f103r.38,f103r,6,lokain,1,True,qokain,223,False,False,False,B,stars,2,data/folios/images/yale_1006254.jpg
eva,f112v.28,f112v,10,qokaim,1,True,qokain,223,False,False,False,B,stars,2,data/folios/images/yale_1006269.jpg
eva,f113r.35,f113r,13,qosain,1,True,qokain,223,False,False,False,B,stars,2,data/folios/images/yale_1006270.jpg
eva,f39r.2,f39r,4,qolain,1,True,qokain,223,False,False,False,B,herbal,2,data/folios/images/yale_1006150.jpg
eva,f75v.43,f75v,0,pokain,1,True,qokain,223,False,False,False,B,balneological,2,data/folios/images/yale_1006209.jpg
eva,f79v.40,f79v,5,qokoin,1,True,qokain,223,False,False,False,B,balneological,2,data/folios/images/yale_1006217.jpg
eva,f80r.39,f80r,1,qokail,1,True,qokain,223,False,False,False,B,balneological,2,data/folios/images/yale_1006218.jpg
eva,f95r1.6,f95r1,8,qofain,1,True,qokain,223,False,False,False,B,herbal,2,
eva,f104r.4,f104r,7,chry,1,True,chey,216,False,False,False,B,stars,2,data/folios/images/yale_1006256.jpg
eva,f41r.2,f41r,8,chpy,1,True,chey,216,False,False,True,B,herbal,3,data/folios/images/yale_1006154.jpg
eva,f43v.8,f43v,8,chef,1,True,chey,216,False,False,False,B,herbal,2,data/folios/images/yale_1006159.jpg
eva,f45v.6,f45v,6,cheg,1,True,chey,216,False,False,True,A,herbal,3,data/folios/images/yale_1006163.jpg
eva,f70r2.1,f70r2,7,chly,1,True,chey,216,False,False,False,unknown,cosmological,2,
eva,f99r.41,f99r,2,ckey,1,True,chey,216,False,False,False,A,pharmaceutical,2,data/folios/images/yale_1006246.jpg
eva,f104v.23,f104v,3,qodeey,1,True,qokeey,215,False,False,False,B,stars,2,data/folios/images/yale_1006257.jpg
eva,f113r.39,f113r,9,pokeey,1,True,qokeey,215,False,False,True,B,stars,3,data/folios/images/yale_1006270.jpg
eva,f17v.22,f17v,0,qokeee,1,True,qokeey,215,False,False,False,A,herbal,2,data/folios/images/yale_1006107.jpg
eva,f82r.24,f82r,2,qokeoy,1,True,qokeey,215,False,False,False,B,balneological,2,data/folios/images/yale_1006222.jpg
eva,f90r2.4,f90r2,5,sokeey,1,True,qokeey,215,False,False,False,A,herbal,2,
eva,f116r.31,f116r,6,shfy,1,True,shey,207,False,False,False,B,stars,2,data/folios/images/yale_1006276.jpg
eva,f32v.9,f32v,2,skey,1,True,shey,207,False,False,False,A,herbal,2,data/folios/images/yale_1006137.jpg
eva,f86v5.18,f86v5,1,shea,1,True,shey,207,False,False,False,B,text,2,
eva,f89r1.17,f89r1,2,seey,1,True,shey,207,False,False,False,A,pharmaceutical,2,
eva,f105r.14,f105r,1,qoeeedy,1,True,qokeedy,197,False,False,False,B,stars,2,data/folios/images/yale_1006258.jpg
